-22.88556	-46.02861
-22.88806	-46.31750
-22.88806	-46.31750
-22.69444	-44.63250
-22.69444	-44.63250
-26.02083	-48.99556
-25.57444	-50.98361
-25.47333	-49.63889
-25.42667	-49.71639
-25.13250	-48.82083
-22.37611	-44.76222
-28.80667	-50.61028
-26.43500	-51.09750
-26.71833	-51.32028
-26.69583	-50.50917
-26.56333	-50.89694
-22.54444	-45.20333
-27.28556	-50.29972
-22.50000	-45.13222
-22.54444	-45.20333
-25.48500	-49.65222
-22.35500	-42.56361
-25.06167	-49.01250
-25.38694	-49.55278
-24.98750	-48.79083
-26.79944	-48.93222
-25.51611	-49.67000
-20.52111	-42.07139
-24.39722	-48.63611
-23.94667	-47.40167
-22.37611	-44.76222
-23.16167	-44.86194
-28.56861	-49.65472
-24.38417	-49.17278
-24.39722	-48.63611
-25.79694	-51.00778
-25.79694	-51.00778
-25.11722	-48.65333
-25.33917	-48.91750
-25.89083	-48.95694
-24.58806	-50.24139
-25.28972	-49.84722
-25.45694	-49.64278
-29.50500	-50.32389
